,datestr,city,state,shape,duration_description,start_dt,duration_secs,end_dt,location_name,lon,lat
185,2/26/17 18:00,Carpentersville,IL,flash,15 minutes,2017-02-26 18:00:00,900.0,2017-02-26 18:15:00,IL Carpentersville,-88.2578582,42.1211364
186,2/26/17 15:30,Superior,WI,egg,3-5 minutes,2017-02-26 15:30:00,300.0,2017-02-26 15:35:00,WI Superior,-92.1040796,46.7207737
189,2/26/17 05:50,Freeport,NY,oval,45 seconds,2017-02-26 05:50:00,45.0,2017-02-26 05:50:45,NY Freeport,-73.5831835,40.6576022
190,2/26/17 05:20,Bend,OR,light,30 minutes,2017-02-26 05:20:00,1800.0,2017-02-26 05:50:00,OR Bend,-121.3153096,44.0581728
191,2/25/17 23:27,Chicago,IL,light,5 seconds,2017-02-25 23:27:00,5.0,2017-02-25 23:27:05,IL Chicago,-87.6297982,41.8781136
192,2/25/17 22:10,Sandy,UT,circle,10 minutes,2017-02-25 22:10:00,600.0,2017-02-25 22:20:00,UT Sandy,-111.8389726,40.5649781
193,2/25/17 21:30,Albany (near),OR,rectangle,5 minutes,2017-02-25 21:30:00,300.0,2017-02-25 21:35:00,OR Albany (near),-123.1059282,44.6365107
194,2/25/17 21:00,Canton,GA,cigar,2+hrs,2017-02-25 21:00:00,7200.0,2017-02-25 23:00:00,GA Canton,-84.4907621,34.2367621
195,2/25/17 21:00,Glendive,MT,light,15 minutes,2017-02-25 21:00:00,900.0,2017-02-25 21:15:00,MT Glendive,-104.7107931,47.106401
196,2/25/17 21:00,Watson Lake (Canada),YT,light,1 hour +,2017-02-25 21:00:00,3600.0,2017-02-25 22:00:00,YT Watson Lake (Canada),-128.710913,60.062806
197,2/25/17 21:00,las vegas,NV,circle,5 minutes,2017-02-25 21:00:00,300.0,2017-02-25 21:05:00,NV las vegas,-115.1398296,36.1699412
198,2/25/17 19:35,Orlando,FL,formation,1-2 minutes,2017-02-25 19:35:00,120.0,2017-02-25 19:37:00,FL Orlando,-81.3792365,28.5383355
199,2/25/17 19:15,Highland,KS,light,2 hours,2017-02-25 19:15:00,7200.0,2017-02-25 21:15:00,KS Highland,-95.2696985,39.8597208
201,2/25/17 18:45,Longmont,CO,oval,5 minutes,2017-02-25 18:45:00,300.0,2017-02-25 18:50:00,CO Longmont,-105.1019275,40.1672068
202,2/25/17 18:15,Long Beach,CA,oval,20 seconds,2017-02-25 18:15:00,20.0,2017-02-25 18:15:20,CA Long Beach,-118.1937395,33.7700504
203,2/25/17 14:16,Mesa,AZ,sphere,5 minutes,2017-02-25 14:16:00,300.0,2017-02-25 14:21:00,AZ Mesa,-111.8314724,33.4151843
205,2/25/17 13:15,Broomfield,CO,teardrop,2 minutes,2017-02-25 13:15:00,120.0,2017-02-25 13:17:00,CO Broomfield,-105.0866504,39.9205411
206,2/25/17 10:00,Elk Grove,CA,circle,8 minutes,2017-02-25 10:00:00,480.0,2017-02-25 10:08:00,CA Elk Grove,-121.3716178,38.4087993
